2024-12-21 23:20:58.623 ,,99-002,0-00+,
2024-12-21 23:22:39.592 ,,99-002,0-00+,
2024-12-21 23:34:02.312 ,,99-002,0-00+,
2024-12-22 00:01:55.300 ,,100-303,0-010,
2024-12-22 00:03:35.845 ,,99-002,0-00+,
2024-12-22 00:05:14.968 ,,99-002,0-00+,
2024-12-22 00:06:30.762 ,,99-002,0-00+,
2024-12-22 00:09:35.851 ,,99-002,0-00+,
2024-12-22 00:10:28.448 ,,99-002,0-00+,
2024-12-22 00:13:49.423 ,,99-002,0-00+,
2024-12-22 00:15:47.743 ,,99-002,0-00+,
2024-12-22 00:17:41.320 ,,99-002,0-00+,
2024-12-22 00:44:42.300 ,,99-057,0-010,
2024-12-22 00:54:09.452 ,,99-002,0-00+,
2024-12-22 01:49:41.458 ,,99-002,0-00+,
2024-12-22 02:13:48.300 ,,100-191,0-00+,
2024-12-22 02:23:28.709 ,,99-002,0-00+,
2024-12-22 03:26:01.300 ,,99-160,0-010,
2024-12-22 03:26:01.604 ,,99-276,0-010,
2024-12-22 03:26:01.910 ,,100-251,0-00+,
2024-12-22 04:28:19.701 ,91282CME8,99-002,0-00+,
2024-12-22 18:53:32.498 ,91282CME8,99-002,0-00+,
2024-12-22 19:00:48.300 ,91282CJN2,99-270,0-010,
2024-12-22 19:08:31.346 ,91282CME8,99-002,0-00+,
2024-12-22 19:09:28.300 ,91282CJM4,100-110,0-00+,
2024-12-22 19:09:35.317 ,91282CME8,99-002,0-00+,
2024-12-22 19:10:56.873 ,91282CME8,99-002,0-00+,
2024-12-22 19:46:56.300 ,91282CLZ2,99-175,0-00+,
2024-12-22 19:52:02.586 ,91282CLY5,99-002,0-00+,
2024-12-22 19:59:20.645 ,91282CLY5,99-002,0-00+,
2024-12-22 20:22:26.367 ,91282CLY5,99-002,0-00+,
2024-12-22 20:25:55.407 ,91282CLY5,99-002,0-00+,
2024-12-22 20:29:22.808 ,91282CLY5,99-002,0-00+,
2024-12-22 20:38:28.300,91282CLY5,100-090,0-00+,
2024-12-22 20:39:15.408,91282CLY5,99-002,0-00+,
2024-12-22 20:39:44.616,91282CLY5,99-002,0-00+,
2024-12-22 20:42:13.300,912810UE6,99-293,0-010,
2024-12-22 21:36:28.976,91282CLY5,99-002,0-00+,
2024-12-22 21:46:12.580,91282CLY5,99-002,0-00+,
2024-12-22 21:54:08.557,91282CLY5,99-002,0-00+,
2024-12-22 22:11:14.444,91282CLY5,99-002,0-00+,
2024-12-22 22:14:41.613,91282CLY5,99-002,0-00+,
2024-12-22 22:14:55.469,91282CLY5,99-002,0-00+,
2024-12-22 22:26:04.675,91282CLY5,99-002,0-00+,
2024-12-22 22:29:21.300,91282CLY5,100-016,0-010,
2024-12-22 22:31:31.509,91282CLY5,99-002,0-00+,
2024-12-22 22:32:43.535,91282CLY5,99-002,0-00+,
2024-12-22 22:36:38.755,91282CLY5,99-002,0-00+,
2024-12-22 22:37:57.300,91282CLZ2,99-006,0-00+,
2024-12-22 22:45:08.633,91282CLY5,99-002,0-00+,
2024-12-22 22:49:05.541,91282CLY5,99-002,0-00+,
2024-12-22 22:49:40.387,91282CLY5,99-002,0-00+,
2024-12-22 22:50:04.485,91282CLY5,99-002,0-00+,
2024-12-22 22:52:03.615,91282CLY5,99-002,0-00+,
