2024-12-21 23:20:58.757 ,,BID,U8X03Z1LGFE1,MARKET,99-000,10000000,0,,NO,
2024-12-21 23:20:58.773 ,,OFFER,YJUL62B74OH6,MARKET,101-000,10000000,0,,NO,
2024-12-21 23:20:58.787 ,,BID,KQVZ3MC0NFPF,MARKET,99-000,10000000,0,,NO,
2024-12-21 23:20:58.802 ,,OFFER,FZAG7CAJQPG7,MARKET,101-000,10000000,0,,NO,
2024-12-21 23:20:58.816 ,,BID,0E43GM11G8RE,MARKET,99-000,10000000,0,,NO,
2024-12-21 23:20:58.831 ,,OFFER,CP3DSA5LDMHB,MARKET,101-000,10000000,0,,NO,
2024-12-21 23:20:58.845 ,,BID,YNR8M1006AYN,MARKET,99-000,10000000,0,,NO,
2024-12-21 23:20:58.860 ,,OFFER,W73HIUZ4FID9,MARKET,101-000,10000000,0,,NO,
2024-12-21 23:20:58.874 ,,BID,TR25KFA7JL5D,MARKET,99-000,10000000,0,,NO,
2024-12-21 23:20:58.889 ,,OFFER,K82Y1WSCD5O8,MARKET,101-000,10000000,0,,NO,
2024-12-21 23:20:58.904 ,,BID,9578E2IIOLMO,MARKET,99-000,10000000,0,,NO,
2024-12-21 23:20:58.919 ,,OFFER,FENN911FXDOE,MARKET,101-000,10000000,0,,NO,
2024-12-21 23:20:58.933 ,,BID,793DZTV2KS78,MARKET,99-000,10000000,0,,NO,
2024-12-21 23:20:58.948 ,,OFFER,QDY632IVMCN6,MARKET,101-000,10000000,0,,NO,
2024-12-21 23:22:39.681 ,,BID,CQ7IRWGL70FF,MARKET,99-003,5000000,0,,NO,
2024-12-21 23:22:39.681 ,,OFFER,CQ7IRWGL70FF,MARKET,99-007,1000000,0,,NO,
2024-12-21 23:22:39.681 ,,BID,CQ7IRWGL70FF,MARKET,99-015,5000000,0,,NO,
2024-12-21 23:22:39.681 ,,OFFER,CQ7IRWGL70FF,MARKET,99-021,1000000,0,,NO,
2024-12-21 23:22:39.681 ,,BID,CQ7IRWGL70FF,MARKET,99-027,5000000,0,,NO,
2024-12-21 23:22:39.681 ,,OFFER,CQ7IRWGL70FF,MARKET,99-033,1000000,0,,NO,
2024-12-21 23:22:39.681 ,,BID,CQ7IRWGL70FF,MARKET,99-041,5000000,0,,NO,
2024-12-21 23:22:39.682 ,,OFFER,CQ7IRWGL70FF,MARKET,99-045,1000000,0,,NO,
2024-12-21 23:22:39.682 ,,BID,82RXLAQLDL6B,MARKET,99-053,5000000,0,,NO,
2024-12-21 23:22:39.682 ,,OFFER,82RXLAQLDL6B,MARKET,99-057,1000000,0,,NO,
2024-12-21 23:22:39.682 ,,BID,82RXLAQLDL6B,MARKET,99-065,5000000,0,,NO,
2024-12-21 23:22:39.682 ,,OFFER,82RXLAQLDL6B,MARKET,99-071,1000000,0,,NO,
2024-12-21 23:22:39.682 ,,BID,82RXLAQLDL6B,MARKET,99-077,5000000,0,,NO,
2024-12-21 23:22:39.682 ,,OFFER,82RXLAQLDL6B,MARKET,99-083,1000000,0,,NO,
2024-12-21 23:22:39.682 ,,BID,82RXLAQLDL6B,MARKET,99-091,5000000,0,,NO,
2024-12-21 23:22:39.682 ,,OFFER,82RXLAQLDL6B,MARKET,99-095,1000000,0,,NO,
2024-12-21 23:22:39.682 ,,BID,82RXLAQLDL6B,MARKET,99-103,5000000,0,,NO,
2024-12-21 23:22:39.682 ,,OFFER,82RXLAQLDL6B,MARKET,99-107,1000000,0,,NO,
2024-12-21 23:22:39.682 ,,BID,82RXLAQLDL6B,MARKET,99-115,5000000,0,,NO,
